,1,2,3,4,5,6,7,8,9,10,11
1977,153638.0,188412.0,134534.0,87456.0,60348.0,42404.0,31238.0,21252.0,16622.0,14440.0,12200.0
1978,178536.0,226412.0,158894.0,104686.0,71448.0,47990.0,35576.0,24818.0,22662.0,18000.0,
1979,210172.0,259168.0,188388.0,123074.0,83380.0,56086.0,38496.0,33768.0,27400.0,,
1980,211448.0,253482.0,183370.0,131040.0,78994.0,60232.0,45568.0,38000.0,,,
1981,219810.0,266304.0,194650.0,120098.0,87582.0,62750.0,51000.0,,,,
1982,205654.0,252746.0,177506.0,129522.0,96786.0,82400.0,,,,,
1983,197716.0,255408.0,194648.0,142328.0,105600.0,,,,,,
1984,239784.0,329242.0,264802.0,190400.0,,,,,,,
1985,326304.0,471744.0,375400.0,,,,,,,,
1986,420778.0,590400.0,,,,,,,,,
1987,496200.0,,,,,,,,,,
