,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1997,2185,13908,44704,56445,67313,62830,72619,42511,32246,51257,11774,21726,10926,4763,3580,4777,1070,1807,824,1288
1998,3004,17478,49564,55090,75119,66759,76212,62311,31510,15483,23970,8321,15027,3247,8756,14364,3967,3858,4643,NA
1999,5690,28971,55352,63830,71528,73549,72159,37275,38797,27264,28651,14102,8061,17292,10850,10732,4611,4608,NA,NA
2000,9035,29666,47086,41100,58533,80538,70521,40192,27613,13791,17738,20259,12123,6473,3922,3825,3082,NA,NA,NA
2001,7924,38961,41069,64760,64069,61135,62109,52702,36100,18648,32572,17751,18347,10895,2974,5828,NA,NA,NA,NA
2002,7285,25867,44375,58199,61245,48661,57238,29667,34557,8560,12604,8683,9660,4687,1889,NA,NA,NA,NA,NA
2003,3017,22966,62909,54143,72216,58050,29522,25245,19974,16039,8083,9594,3291,2016,NA,NA,NA,NA,NA,NA
2004,1752,25338,56419,75381,64677,58121,38339,21342,14446,13459,6364,6326,6185,NA,NA,NA,NA,NA,NA,NA
2005,1181,24571,66321,65515,62151,43727,29785,23981,12365,12704,12451,8272,NA,NA,NA,NA,NA,NA,NA,NA
2006,1706,13203,40759,57844,48205,50461,27801,21222,14449,10876,8979,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,623,14485,27715,52243,60190,45100,31092,22731,19950,18016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,338,6254,24473,32314,35698,25849,30407,15335,15697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,255,3842,14086,26177,27713,15087,17085,12520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,258,7426,22459,28665,32847,28479,24096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,1139,10300,19750,32722,41701,29904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,381,5671,34139,33735,33191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,605,11242,24025,32777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1091,9970,31410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1221,8374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,2458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
